hop,count
1694,7212
1695,7194
1696,7161
1697,7308
1698,7352
1699,7079
1700,7133
1701,7107
1702,7103
1703,7180
1704,7140
1705,7056
1706,7004
1707,7190
1708,6991
1709,7020
1710,7065
1711,7078
1712,7316
1713,7216
1714,7301
1715,7249
1716,7205
1717,7229
1718,7238
1719,7328
1720,7124
1721,7238
1722,7438
1723,7387
1724,7371
1725,7486
1726,7641
1727,7402
1728,7496
1729,7685
1730,7512
1731,7503
1732,7572
1733,7513
1734,7417
1735,7573
1736,7475
1737,7519
1738,7515
1739,7443
1740,7446
1741,7637
1742,7718
1743,7703
1744,7697
1745,7601
1746,7443
1747,7538
1748,7541
1749,7418
1750,7433
1751,7640
1752,7585
1753,7440
1754,7515
1755,7522
1756,7308
1757,7269
1758,7540
1759,7633
1760,7623
1761,7713
1762,7788
1763,7845
1764,7839
1765,7950
1766,8097
1767,8150
1768,7974
1769,7873
1770,7979
1771,7822
1772,7838
1773,7648
1774,7739
1775,7785
1776,7719
1777,7607
1778,7535
1779,7545
1780,7712
1781,7881
1782,8028
1783,8136
1784,7900
1785,7991
1786,8065
1787,8164
1788,8203
1789,8071
1790,8097
1791,7871
1792,7848
1793,7668
1794,7673
1795,7530
1796,7581
1797,7712
1798,7616
1799,7605
1800,7389
1801,7575
1802,7828
1803,7747
1804,7571
1805,7289
1806,7169
1807,7270
1808,7061
1809,7098
1810,7014
1811,7009
1812,7002
1813,6782
1814,6766
1815,6698
1816,6611
1817,6629
1818,6570
1819,6534
1820,6544
1821,6589
1822,6711
1823,6773
1824,6944
1825,6844
1826,6786
1827,6592
1828,6728
1829,6905
1830,6871
1831,6927
1832,6843
1833,6783
1834,6860
1835,6982
1836,6996
1837,7079
1838,7055
1839,7265
1840,7361
1841,7438
1842,7388
1843,7418
1844,7473
1845,7274
1846,7372
1847,7524
1848,7659
1849,7548
1850,7769
1851,7583
1852,7652
1853,7626
1854,7734
1855,7838
1856,7895
1857,7833
1858,7948
1859,7939
1860,7924
1861,8132
1862,8165
1863,8243
1864,8215
1865,8029
1866,8082
1867,8216
1868,7993
1869,7812
1870,7811
1871,7900
1872,7936
1873,7844
1874,7858
1875,7954
1876,7964
1877,7896
1878,7933
1879,7986
1880,8022
1881,7884
1882,7850
1883,7862
1884,7891
1885,7656
1886,7728
1887,7550
1888,7752
1889,7864
1890,7827
1891,8027
1892,7851
1893,7837
1894,7791
1895,7618
1896,7672
1897,7623
1898,7698
1899,7711
1900,7715
1901,7518
1902,7487
1903,7529
1904,7766
1905,7476
1906,7345
1907,7392
1908,7424
1909,7401
1910,7319
1911,7435
1912,7404
1913,7512
1914,7399
1915,7470
1916,7555
1917,7573
1918,7496
1919,7589
1920,7358
1921,7169
1922,7229
1923,7292
1924,7197
1925,7092
1926,7296
1927,7275
1928,7344
1929,7360
1930,7475
1931,7464
1932,7567
1933,7691
1934,7721
1935,7706
1936,7585
1937,7459
1938,7412
1939,7202
1940,7310
1941,7505
1942,7269
1943,7253
1944,7259
1945,7187
1946,7190
1947,7189
1948,7083
1949,7099
1950,7216
1951,7296
1952,7243
1953,7284
1954,7268
1955,7392
1956,7372
1957,7383
1958,7325
1959,7170
1960,7098
1961,6976
1962,6791
1963,6671
1964,6543
1965,6629
1966,6626
1967,6511
1968,6631
1969,6659
1970,6579
1971,6765
1972,6858
1973,6841
1974,6908
1975,6719
1976,6818
1977,6681
1978,6782
1979,6834
1980,6899
1981,6871
1982,6887
1983,6975
1984,6915
1985,6959
1986,6974
1987,6927
1988,6842
1989,6951
1990,7134
1991,7002
1992,7031
1993,7106
1994,6793
1995,6974
1996,6810
1997,6808
1998,6742
1999,6820
2000,6847
2001,6803
2002,6678
2003,6763
2004,6779
2005,6870
2006,6673
2007,6563
2008,6716
2009,6621
2010,6644
2011,6555
2012,6575
2013,6775
2014,6835
2015,6722
2016,6760
2017,6668
2018,6802
2019,6639
2020,6723
2021,6648
2022,6657
2023,6633
2024,6818
2025,6568
2026,6649
2027,6606
2028,6621
2029,6408
2030,6516
2031,6482
2032,6568
2033,6699
2034,6768
2035,6759
2036,6845
2037,7098
2038,6983
2039,7139
2040,6933
2041,6836
2042,6905
2043,6858
2044,6645
2045,6521
2046,6465
2047,6534
2048,6460
2049,6488
2050,6501
2051,6442
2052,6349
2053,6331
2054,6262
2055,6321
2056,6380
2057,6286
2058,6298
2059,6423
2060,6486
2061,6460
2062,6506
2063,6504
